,feature,value
149,DIFF(profit2 by ownerChange),0.14890312290144736
150,DIFF(netAsset2 by ownerChange),0.020416159774631536
151,DIFF(liquidAsset1 by ownerChange),0.014118350551209153
152,DIFF(longLoan2 by ownerChange),0.10322911771265678
153,DIFF(liquidAsset1 by sido),0.0113439051233973
154,DIFF(bedCount by instkind),0.14582727059393402
155,DIFF(receivableL1 by sido),0.0
156,DIFF(nonCAsset2 by instkind),0.0453306433907268
157,DIFF(debt1 by sido),0.013859148199226092
158,DIFF(receivableL1 by instkind),0.0
159,DIFF(noi1 by instkind),0.039181043648560065
160,DIFF(longLoan1 by ownerChange),0.024241877985410665
161,DIFF(interest1 by ownerChange),0.022809266721062774
162,DIFF(revenue1 by sido),0.005943745469017667
163,DIFF(noe2 by sido),0.07660303623326296
164,DIFF(liquidLiabilities1 by sido),0.004382732397430121
165,DIFF(bedCount by sido),0.058008938550152364
166,DIFF(salescost2 by instkind),0.0336700877884075
167,DIFF(noe2 by ownerChange),0.06242958885941695
168,DIFF(receivableL2 by ownerChange),0.0
169,DIFF(bedCount by ownerChange),0.10333577753066492
170,DIFF(liquidLiabilities2 by instkind),0.03892077903203886
171,DIFF(quickAsset1 by ownerChange),0.019872897400096887
172,DIFF(netAsset1 by ownerChange),0.026001758166470164
173,WEEK(openDate) = 1.0,0.0
174,WEEK(openDate) = 22.0,0.003448607230076656
175,WEEK(openDate) = 52.0,0.0
176,WEEK(openDate) = 27.0,0.0006621629778491392
177,WEEK(openDate) = 49.0,0.015252927296344058
178,WEEK(openDate) = 50.0,0.00041052879233249433
179,WEEK(openDate) = 31.0,0.0
180,WEEK(openDate) = 6.0,0.0
181,WEEK(openDate) = 42.0,0.00025646761351824356
182,WEEK(openDate) = 39.0,0.006602059680825851
183,WEEK(openDate) = unknown,0.011687265391960668
184,DIFF(inventoryAsset2 by sido),0.03687819899292219
185,DIFF(netAsset1 by instkind),0.02384963695571101
186,DIFF(noe1 by ownerChange),0.13972490041725077
187,DIFF(NCLiabilities2 by instkind),0.05415382441920978
188,DIFF(revenue1 by ownerChange),0.015073454222671836
189,DIFF(receivableL2 by instkind),0.0
190,DIFF(interest2 by sido),0.014393840022529596
191,DIFF(salary2 by instkind),0.04481568927004788
192,DIFF(netAsset2 by instkind),0.04057905609825769
193,DIFF(shortLoan1 by sido),0.0416720314579376
194,DIFF(longLoan1 by sido),0.019345555390483778
195,DIFF(sga2 by ownerChange),0.01160613821784361
196,DIFF(liquidLiabilities1 by ownerChange),0.01589022403111886
